,index,origin,Setor,Freguesia,Ano/Mês,Nº de operações,Valor das operações,prob,Mês,Ano
209,2226,non-local,"Bares, Cafés e Similares",Campanhã,Jul 22,422,3372.64,0.030227061098775158,7,22
218,2235,non-local,"Bares, Cafés e Similares",Paranhos,Jul 22,1245,47451.11,0.039011092310584694,7,22
227,2244,non-local,"Bares, Cafés e Similares",Ramalde,Jul 22,202,4761.46,0.00993068187404749,7,22
235,2252,non-local,"Bares, Cafés e Similares","União das freguesias de Aldoar, Foz do Douro e Nevogilde",Jul 22,7743,278350.81,0.21677538564909432,7,22
242,2259,non-local,"Bares, Cafés e Similares","União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Jul 22,180441,3366858.23,0.4175715079144682,7,22
251,2268,non-local,"Bares, Cafés e Similares",União das freguesias de Lordelo do Ouro e Massarelos,Jul 22,4887,82736.21,0.12934388481592252,7,22
256,3271,non-local,Restaurantes,ARU/ORU da Corujeira,Jul 22,1608,67578.02,0.13206307490144548,7,22
263,3278,non-local,Restaurantes,ARU/ORU de Campanhã - Estação,Jul 22,5816,91336.93,0.27250152274750505,7,22
272,3287,non-local,Restaurantes,ARU/ORU do Centro Histórico,Jul 22,154286,4698585.74,0.5827544919226599,7,22
281,3296,non-local,Restaurantes,Bonfim,Jul 22,7985,222069.94,0.11294839877786579,7,22
290,3305,non-local,Restaurantes,Campanhã,Jul 22,10724,146817.7,0.15014350717535876,7,22
299,3314,non-local,Restaurantes,Paranhos,Jul 22,4701,150988.88999999998,0.04380806828877354,7,22
308,3323,non-local,Restaurantes,Ramalde,Jul 22,3151,96133.59,0.04373533943120463,7,22
317,3332,non-local,Restaurantes,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",Jul 22,10886,572480.76,0.14907427695004383,7,22
326,3341,non-local,Restaurantes,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Jul 22,313839,10134730.0,0.4564074522744096,7,22
335,3350,non-local,Restaurantes,União das freguesias de Lordelo do Ouro e Massarelos,Jul 22,23099,679440.35,0.1547360664523044,7,22
